"","rank_RF"
"SNP9",153.75040498348
"SNP7",100.003841767191
"SNP8",75.6098168802423
"SNP3",53.8145346741259
"SNP1",16.5161958975592
"SNP2",16.3374088603143
"SNP68",9.02766706244818
"SNP45",7.96055935856827
"SNP39",6.85958224534656
"SNP49",6.46643585055971
"SNP11",6.24453670862751
"SNP60",6.14453471591008
"SNP20",4.64891521083426
"SNP30",4.28548670815576
"SNP10",4.05921719074652
"SNP40",3.918719427009
"SNP83",3.61404120074234
"SNP51",3.15357835455765
"SNP98",2.73727676947526
"SNP22",2.12963464511019
"SNP27",2.01858178208299
"SNP79",1.74188696198143
"SNP85",1.52028366028437
"SNP76",1.37729608635636
"SNP32",1.35705027488507
"SNP18",1.35092831668632
"SNP12",1.23545864155958
"SNP4",1.0658096689297
"SNP70",0.942438668284122
"SNP64",0.882980962762323
"SNP31",0.869066324540734
"SNP80",0.678130266656212
"SNP29",0.553835564383219
"SNP92",0.497320013106076
"SNP90",0.47868935018673
"SNP88",0.448112496482735
"SNP6",0.381879657992545
"SNP63",0.340561363230583
"SNP96",0.328232375446332
"SNP15",0.21748219933707
"SNP54",0.157012860740334
"SNP97",0.106153046931659
"SNP19",0.0749231545335406
"SNP44",-0.141255041594327
"SNP26",-0.331805577471604
"SNP77",-0.367619495722222
"SNP69",-0.475807084689685
"SNP89",-0.496111652257946
"SNP84",-0.59680055615144
"SNP13",-0.703502116132899
"SNP5",-0.800967483939361
"SNP48",-0.821440524667469
"SNP71",-0.893277309536384
"SNP46",-1.00746935885945
"SNP59",-1.04361933110381
"SNP35",-1.05149938746683
"SNP95",-1.14787305042328
"SNP50",-1.2328536330874
"SNP28",-1.29865396139044
"SNP23",-1.39902899907291
"SNP37",-1.41794264868627
"SNP91",-1.44354814642421
"SNP41",-1.44543185064406
"SNP21",-1.52188201734278
"SNP82",-1.53855833622876
"SNP42",-1.79067864889807
"SNP14",-1.84641873186916
"SNP47",-1.93483926264936
"SNP94",-1.95609517278433
"SNP100",-2.03765336297546
"SNP93",-2.03922097286383
"SNP16",-2.04068203517558
"SNP72",-2.17182760820451
"SNP36",-2.18483651244109
"SNP55",-2.2919239104389
"SNP56",-2.30338923885949
"SNP66",-2.38207734389468
"SNP73",-2.44021677196587
"SNP24",-2.52235000487552
"SNP99",-2.5789491870448
"SNP61",-2.83285168172672
"SNP65",-2.92650956325046
"SNP38",-2.9334690274186
"SNP17",-2.96700040189674
"SNP74",-3.00796554484647
"SNP67",-3.02029139870206
"SNP86",-3.1748364985666
"SNP81",-3.23450468666296
"SNP53",-3.25056179830843
"SNP58",-3.43088264699443
"SNP87",-3.54786174731594
"SNP78",-3.58114040021598
"SNP52",-3.65333247418973
"SNP34",-3.71158218337979
"SNP43",-4.04125977013109
"SNP25",-4.50473071904851
"SNP33",-4.57452538740667
"SNP62",-4.73216850085236
"SNP75",-5.13173150824816
"SNP57",-5.2822500867844
