"","rank_RF"
"SNP10",102.996042006969
"SNP1",100.944503238508
"SNP30",97.5996843465867
"SNP20",92.2293241527307
"SNP50",63.7344912008134
"SNP60",61.6994127676314
"SNP530",12.7185518243807
"SNP937",11.2924263337923
"SNP580",9.92999459966544
"SNP917",9.13041166888632
"SNP462",6.91612050008412
"SNP738",6.29062791196658
"SNP197",6.1013850767857
"SNP809",5.99417913005927
"SNP456",5.11222258405964
"SNP133",4.79631062392077
"SNP996",4.47272774081867
"SNP359",4.32906634206575
"SNP11",4.25428387273949
"SNP845",4.01522834244499
"SNP985",4.00829550816092
"SNP516",3.89539160713808
"SNP7",3.72127500566876
"SNP723",3.70486846034985
"SNP44",3.67408861727679
"SNP15",3.50318824211101
"SNP842",3.43650575192748
"SNP882",3.31544163712077
"SNP486",3.18760511923848
"SNP805",3.17731223541274
"SNP41",2.98846051327428
"SNP109",2.92369674431932
"SNP643",2.89500878758586
"SNP616",2.89252871834063
"SNP694",2.70811016977422
"SNP94",2.70519742944915
"SNP111",2.69208048759165
"SNP86",2.67793708252792
"SNP37",2.66183884500021
"SNP566",2.63459663974073
"SNP861",2.56693857675475
"SNP181",2.54245874709018
"SNP4",2.42533005312175
"SNP368",2.4130879669747
"SNP859",2.40261047371909
"SNP366",2.37206339999213
"SNP454",2.37029188395284
"SNP472",2.36942252262643
"SNP711",2.28996729516005
"SNP544",2.26980657901765
"SNP202",2.17510952344627
"SNP475",2.17179207476244
"SNP406",2.13867667208182
"SNP900",2.1200494131742
"SNP402",2.07657881099739
"SNP667",2.063881515836
"SNP563",2.06288842569484
"SNP251",2.05265142709007
"SNP862",2.05171509829529
"SNP500",2.02887844238969
"SNP332",2.02300153589458
"SNP322",1.93576938746023
"SNP114",1.89424310756922
"SNP916",1.88023770003362
"SNP552",1.8756688958531
"SNP826",1.86518345744911
"SNP706",1.85923642018573
"SNP751",1.84580718662417
"SNP33",1.82838721048143
"SNP26",1.81686503885615
"SNP514",1.81184362197813
"SNP292",1.81159401743025
"SNP95",1.79621920464825
"SNP479",1.79603522359097
"SNP411",1.7886661617705
"SNP367",1.7375507251531
"SNP47",1.73653964427109
"SNP739",1.73395074589725
"SNP414",1.73161751101174
"SNP513",1.73022822671104
"SNP13",1.67092131897863
"SNP612",1.66683559482138
"SNP672",1.66169076070509
"SNP223",1.64799608655548
"SNP159",1.64307558459284
"SNP283",1.63762351007831
"SNP24",1.60920897491748
"SNP950",1.60843859022239
"SNP83",1.59314626688698
"SNP549",1.59054536024987
"SNP572",1.58820408577617
"SNP380",1.58096699838448
"SNP964",1.5545237665334
"SNP303",1.5466125572921
"SNP546",1.54629912393913
"SNP726",1.53804517622912
"SNP969",1.5260125110414
"SNP539",1.51134146712935
"SNP344",1.49059318494243
"SNP786",1.48708708025234
"SNP313",1.4742808440991
"SNP19",1.46999223615563
"SNP973",1.43343235859482
"SNP590",1.43268351650378
"SNP745",1.42339615076989
"SNP168",1.42336404917048
"SNP619",1.4069106468379
"SNP930",1.40523311094091
"SNP177",1.38748679635945
"SNP545",1.38111071205254
"SNP632",1.37470715920465
"SNP506",1.36506114292757
"SNP62",1.35066997593605
"SNP214",1.34857886792188
"SNP277",1.34693663237826
"SNP850",1.34254672767144
"SNP533",1.34141790283369
"SNP394",1.32703119335591
"SNP96",1.3257535063808
"SNP865",1.31497302037247
"SNP949",1.30999785958332
"SNP154",1.30700111780642
"SNP481",1.29858559294907
"SNP40",1.28938786058723
"SNP982",1.289089383475
"SNP59",1.28505978658596
"SNP460",1.28353996197479
"SNP897",1.28297189336467
"SNP707",1.27057221680842
"SNP245",1.26184194973344
"SNP788",1.26079933212783
"SNP115",1.25571009172023
"SNP256",1.24972637066238
"SNP678",1.24854510439337
"SNP258",1.24734981974432
"SNP695",1.24709375205362
"SNP773",1.24692288106127
"SNP760",1.23979423335243
"SNP630",1.23574068352537
"SNP381",1.23206716742066
"SNP32",1.22952017301684
"SNP66",1.22099423946132
"SNP290",1.21505699780097
"SNP84",1.20804242362164
"SNP921",1.19734278033795
"SNP92",1.19471788603394
"SNP988",1.1885800386238
"SNP379",1.18361077688042
"SNP714",1.1630775824231
"SNP940",1.1528145108262
"SNP76",1.11196499406555
"SNP149",1.11016972347023
"SNP924",1.10977411159848
"SNP526",1.10832209798745
"SNP142",1.09915055034191
"SNP484",1.09914640643809
"SNP584",1.09385914658206
"SNP537",1.09284758919166
"SNP631",1.0757919588841
"SNP832",1.07014475183492
"SNP206",1.06262089012521
"SNP191",1.04606906750486
"SNP673",1.04492450951108
"SNP217",1.04086925111656
"SNP250",1.03639347798937
"SNP459",1.03512476492994
"SNP600",1.02829105970996
"SNP883",1.01939726647584
"SNP338",1.01821572984138
"SNP869",1.00563712541586
"SNP444",1.00334105218224
"SNP101",1.00206249145989
"SNP876",1.00080324571542
"SNP577",0.988527158142973
"SNP858",0.986632854398009
"SNP259",0.984704889979047
"SNP541",0.978146698358984
"SNP872",0.97473213706045
"SNP365",0.974470099385067
"SNP974",0.965284307157724
"SNP57",0.961393400890242
"SNP891",0.959303733427023
"SNP922",0.958894061383681
"SNP913",0.955262966692047
"SNP435",0.92918951653177
"SNP959",0.923068391990265
"SNP496",0.922089058788302
"SNP39",0.921478755980844
"SNP147",0.916151969330973
"SNP844",0.913813534798063
"SNP542",0.913792819768756
"SNP284",0.913259592042531
"SNP405",0.911183923112128
"SNP622",0.908271891540593
"SNP49",0.900027857212499
"SNP609",0.870402511443606
"SNP448",0.861062763169647
"SNP904",0.852800503155719
"SNP556",0.850405714581949
"SNP308",0.846757119647648
"SNP423",0.838057573136768
"SNP519",0.833661050480921
