"","V1","Valor p bruto","Valor p ajustado"
"SNP7",126.255129895851,5.60275425143805e-20,1.12055085028761e-18
"SNP1",120.197731566255,1.49654733284131e-21,2.99309466568263e-20
"SNP4",105.869857384975,4.71030600662352e-15,9.42061201324703e-14
"SNP8",94.1802361375473,2.20739588362185e-06,4.4147917672437e-05
"SNP5",83.382481572921,0.00141834143056431,0.0283668286112862
"SNP2",57.4941421322228,0.00287576251291039,0.0575152502582079
"SNP36",15.4021604607306,0.233942061023249,4.67884122046497
"SNP71",13.056332979939,0.0261790188924568,0.523580377849137
"SNP20",8.72577103665964,0.384932910616051,7.69865821232102
"SNP83",7.63699621057289,0.0600499116753377,1.20099823350675
"SNP94",7.278263263436,0.478948323069695,9.57896646139389
"SNP48",6.24377214266363,0.976710337466661,19.5342067493332
"SNP11",5.92033407700211,0.0958661834124333,1.91732366824867
"SNP51",5.87728791086258,0.093910163631345,1.8782032726269
"SNP38",4.63412437508422,0.765943940233981,15.3188788046796
"SNP63",4.12167140410803,0.887819534874286,17.7563906974857
"SNP3",4.00280496165804,0.0367829274834249,0.735658549668497
"SNP14",3.79502601794787,0.953639069888856,19.0727813977771
"SNP27",3.39327927370789,0.177215520510732,3.54431041021464
"SNP69",3.23274677413872,0.895660976199079,17.9132195239816
