"","V1","Valor p bruto","Valor p ajustado"
"SNP1",344.1632191987,5.60708709636402e-57,1.1214174192728e-55
"SNP5",215.508331780324,0.00370435326202538,0.0740870652405077
"SNP4",202.716374054885,3.4862643420352e-16,6.97252868407039e-15
"SNP2",150.200348986174,2.16533321793577e-05,0.000433066643587155
"SNP8",84.8343812315894,1.08807993574028e-05,0.000217615987148056
"SNP7",36.1537829072469,0.210062522133593,4.20125044267187
"SNP3",13.5666722357143,0.0180140665035219,0.360281330070437
"SNP41",13.5111869371547,0.499392781550558,9.98785563101115
"SNP6",11.009235878198,0.8730712417347,17.461424834694
"SNP52",9.45498843209402,0.659671995071238,13.1934399014248
"SNP51",8.80583924619221,0.480956119424501,9.61912238849003
"SNP76",7.83152530438997,0.958600288545986,19.1720057709197
"SNP10",7.79562836427291,0.0043478304919316,0.0869566098386319
"SNP38",7.53972199422978,0.745049483380477,14.9009896676095
"SNP83",6.97902127778534,0.0880129798953691,1.76025959790738
"SNP28",5.97138993530721,0.395149055815493,7.90298111630985
"SNP89",5.23172118846088,0.0875929334194272,1.75185866838854
"SNP85",5.01052222588161,0.488722565418258,9.77445130836517
"SNP91",4.75751496813843,0.0800863672613541,1.60172734522708
"SNP99",3.85351128612464,0.419057244020127,8.38114488040255
