"","rank_RF"
"SNP3",37.3104528394557
"SNP4",28.9885858729971
"SNP11",10.4562309652734
"SNP68",5.764738079473
"SNP10",5.63104633949227
"SNP27",5.49470374744567
"SNP1",4.65290753716057
"SNP22",3.71088923305657
"SNP29",2.81284622821388
"SNP76",2.68824111554797
"SNP60",1.71305522277535
"SNP85",1.64500353595006
"SNP92",1.61632422765958
"SNP12",1.26919055701683
"SNP30",1.22173271510521
"SNP83",1.15692184870575
"SNP95",0.954921609032423
"SNP20",0.917254661378941
"SNP70",0.907525751563103
"SNP96",0.904328347824039
"SNP36",0.72500471311418
"SNP7",0.646841613940553
"SNP35",0.562409715827421
"SNP40",0.533628730761765
"SNP53",0.405151993734252
"SNP52",0.404444673239675
"SNP100",0.398228783961495
"SNP39",0.392840647094726
"SNP82",0.36821189307911
"SNP6",0.231737492094512
"SNP61",0.0904323046066145
"SNP77",0.0377172665809873
"SNP91",-0.0527824376337863
"SNP63",-0.201699599582864
"SNP2",-0.275314140669904
"SNP46",-0.293260176617351
"SNP51",-0.304190897711022
"SNP93",-0.332080708936939
"SNP67",-0.392417106709865
"SNP55",-0.42877752717925
"SNP9",-0.509706999950166
"SNP26",-0.601649945650233
"SNP88",-0.813915442401231
"SNP44",-0.828622284746932
"SNP69",-0.861492014710345
"SNP14",-0.877925966078196
"SNP31",-0.918052226602567
"SNP5",-0.919743720894119
"SNP42",-0.953726483293134
"SNP84",-1.03226935040751
"SNP98",-1.0432080978922
"SNP41",-1.07890044785488
"SNP90",-1.08017803719451
"SNP73",-1.15143707505321
"SNP23",-1.15474727754902
"SNP97",-1.16383503551364
"SNP28",-1.1926216570016
"SNP8",-1.19284770005665
"SNP48",-1.26112543031081
"SNP54",-1.27153308111337
"SNP75",-1.30693375460389
"SNP80",-1.37523176738488
"SNP49",-1.3957630873748
"SNP94",-1.45110674782025
"SNP81",-1.58231348096749
"SNP78",-1.62587218015312
"SNP89",-1.65491720015374
"SNP99",-1.72750308409093
"SNP50",-1.74014607824192
"SNP15",-1.82668410097399
"SNP86",-1.85399251238997
"SNP34",-1.86160871712031
"SNP19",-1.88251710810471
"SNP57",-1.98978297270479
"SNP38",-2.00590989260126
"SNP21",-2.08947385136761
"SNP66",-2.13883771339012
"SNP65",-2.14521158602721
"SNP59",-2.15725548954581
"SNP13",-2.17864002616173
"SNP18",-2.24050175502373
"SNP64",-2.31243729085788
"SNP43",-2.32766855395958
"SNP17",-2.46127622404506
"SNP72",-2.54495349913586
"SNP25",-2.55817270396899
"SNP74",-2.57558852448962
"SNP71",-2.58510358770924
"SNP79",-2.74203703088021
"SNP62",-2.75376277668929
"SNP58",-2.78781109399236
"SNP45",-3.03162328762292
"SNP37",-3.14882677740696
"SNP32",-3.16831138041102
"SNP16",-3.17268515587684
"SNP56",-3.50389359175793
"SNP47",-3.64164819037213
"SNP24",-3.92467008436278
"SNP33",-4.02041385584292
"SNP87",-4.93306668401556
