"","V1","Valor p bruto","Valor p ajustado"
"SNP5",351.557172261951,1.11005947947104e-09,2.22011895894208e-08
"SNP2",206.173702145146,4.81419274453244e-06,9.62838548906487e-05
"SNP1",171.309750232327,1.17190790346772e-14,2.34381580693544e-13
"SNP7",161.211875699987,1.06720889866875e-09,2.13441779733751e-08
"SNP8",153.147326740055,3.62181123379379e-06,7.24362246758758e-05
"SNP32",25.4319175945435,0.890408184283831,17.8081636856766
"SNP3",23.6963237534377,0.00856554954058386,0.171310990811677
"SNP20",17.8316921848382,0.690903754297451,13.818075085949
"SNP6",11.3188483287313,0.177171345489472,3.54342690978945
"SNP61",8.35964870798992,0.774733048081373,15.4946609616275
"SNP41",8.20673241434233,0.18995964833562,3.79919296671239
"SNP78",7.49251615546611,0.166915336028492,3.33830672056984
"SNP40",6.98966731949665,0.666069904055907,13.3213980811181
"SNP64",6.96633707842071,0.944709423626147,18.8941884725229
"SNP55",6.64670760210162,0.490776741589942,9.81553483179884
"SNP4",6.16001603029061,0.836336275487692,16.7267255097538
"SNP21",5.93616495204202,0.604803366268365,12.0960673253673
"SNP46",5.89066652796933,0.274330388586338,5.48660777172677
"SNP69",5.82255986845387,0.606007536857718,12.1201507371544
"SNP99",5.29982442283291,0.979259927723754,19.5851985544751
