"","rank_RF"
"SNP1",344.1632191987
"SNP5",215.508331780324
"SNP4",202.716374054885
"SNP2",150.200348986174
"SNP8",84.8343812315894
"SNP7",36.1537829072469
"SNP3",13.5666722357143
"SNP41",13.5111869371547
"SNP6",11.009235878198
"SNP52",9.45498843209402
"SNP51",8.80583924619221
"SNP76",7.83152530438997
"SNP10",7.79562836427291
"SNP38",7.53972199422978
"SNP83",6.97902127778534
"SNP28",5.97138993530721
"SNP89",5.23172118846088
"SNP85",5.01052222588161
"SNP91",4.75751496813843
"SNP99",3.85351128612464
"SNP18",3.80176296388882
"SNP20",3.66449164259808
"SNP46",2.99597534400998
"SNP88",2.77634062192147
"SNP9",2.54158497685731
"SNP11",2.45120928205532
"SNP66",2.07627992704737
"SNP37",2.01014058444009
"SNP39",1.98744958222008
"SNP27",1.8385737033137
"SNP40",1.77169849771152
"SNP68",1.28216542550757
"SNP98",1.25826404439986
"SNP79",1.24190458434914
"SNP96",1.1046345395734
"SNP15",0.940991814873396
"SNP87",0.938043930271237
"SNP31",0.90796848744038
"SNP71",0.755786054610342
"SNP64",0.52533795041592
"SNP59",0.450904146084038
"SNP62",0.412392234659446
"SNP35",0.246840714721029
"SNP56",0.16383769639
"SNP53",-0.0518965556128356
"SNP45",-0.365276027966125
"SNP74",-0.513372925511588
"SNP94",-0.646678148706791
"SNP93",-0.695802834983421
"SNP21",-0.753774800411116
"SNP70",-0.964066582574735
"SNP67",-0.976860208168804
"SNP42",-1.05190654232977
"SNP32",-1.27095075876234
"SNP78",-1.28327330280884
"SNP95",-1.30096782655962
"SNP73",-1.64639046516752
"SNP33",-1.70448995355885
"SNP55",-1.76296035351286
"SNP26",-1.80077284873188
"SNP22",-1.904439209006
"SNP23",-1.97985194710695
"SNP16",-2.14414838371049
"SNP80",-2.17354477917833
"SNP100",-2.20871410222122
"SNP69",-2.50858648941587
"SNP30",-2.52095824960241
"SNP29",-2.58228927352382
"SNP50",-2.58780608068658
"SNP86",-2.60222845308864
"SNP43",-2.8158477562519
"SNP77",-2.9633746662038
"SNP97",-2.97239658114695
"SNP65",-3.04154630951722
"SNP60",-3.29376849881198
"SNP63",-3.31863694468727
"SNP72",-3.46669105726511
"SNP44",-3.52605494442354
"SNP81",-3.53917873483739
"SNP54",-3.61894241186092
"SNP19",-3.68110504577342
"SNP14",-3.74746112580828
"SNP61",-3.77110326089983
"SNP48",-3.91524886813912
"SNP92",-4.10422551979505
"SNP90",-4.12317945561972
"SNP84",-4.14666497582908
"SNP57",-4.24879899740659
"SNP47",-4.36529656019887
"SNP75",-4.70271353137869
"SNP25",-4.93536885433492
"SNP13",-5.00427402476704
"SNP12",-5.52623709555701
"SNP34",-5.57135148127872
"SNP82",-6.05021156949437
"SNP36",-6.18814026278736
"SNP24",-6.25704527768672
"SNP49",-6.96186105925907
"SNP58",-8.08075840817562
"SNP17",-10.9202559617311
